utp_id;cd_mun;nm_mun
412;2209302;2209302
412;2200459;2200459
412;2203107;2203107
439;2202711;2202711
439;2206753;2206753
439;2201945;2201945
439;2210656;2210656
439;2202059;2202059
439;2207793;2207793
439;2200301;2200301
439;2205276;2205276
439;2202208;2202208
439;2201770;2201770
448;2210953;2210953
448;2202752;2202752
448;2203800;2203800
448;2207355;2207355
448;2203602;2203602
448;2209005;2209005
448;2202307;2202307
448;2201988;2201988
448;2205102;2205102
448;2207850;2207850
459;2209906;2209906
459;2205516;2205516
459;2206951;2206951
459;2202604;2202604
459;2201051;2201051
459;2202026;2202026
459;2210409;2210409
483;2207603;2207603
483;2203008;2203008
483;2210623;2210623
483;2202901;2202901
483;2208858;2208858
504;2205805;2205805
504;2209971;2209971
504;2205854;2205854
504;2201507;2201507
504;2201200;2201200
504;2206100;2206100
504;2208502;2208502
504;2206670;2206670
504;2110609;2110609
504;2205409;2205409
504;2205458;2205458
504;2203701;2203701
504;2206803;2206803
504;2202174;2202174
504;2106300;2106300
504;2110104;2110104
109;2210102;2210102
109;2204501;2204501
109;2101509;2101509
109;2206001;2206001
109;2205607;2205607
109;2203909;2203909
109;2208551;2208551
109;2205300;2205300
109;2200509;2200509
109;2206704;2206704
109;2204105;2204105
109;2110906;2110906
515;2204402;2204402
515;2209757;2209757
515;2201309;2201309
515;2206605;2206605
473;2206209;2206209
473;2100105;2100105
473;2103901;2103901
473;2103406;2103406
473;2102200;2102200
617;2202778;2202778
617;2203859;2203859
617;2209708;2209708
617;2209500;2209500
617;2210391;2210391
617;2211704;2211704
617;2207009;2207009
617;2209377;2209377
NOVA5;2205706;2205706
NOVA5;2202083;2202083
NOVA5;2204659;2204659
NOVA5;2207702;2207702
633;2203271;2203271
633;2202802;2202802
633;2202554;2202554
633;2207777;2207777
633;2205151;2205151
633;2207801;2207801
633;2201739;2201739
633;2200053;2200053
255;2210938;2210938
255;2209401;2209401
255;2200954;2200954
255;2207553;2207553
255;2208007;2208007
255;2209955;2209955
255;2209104;2209104
255;2211506;2211506
255;2205003;2205003
255;2210201;2210201
255;2204204;2204204
255;2206050;2206050
255;2204352;2204352
255;2209856;2209856
