Municipio_ID,Municipio_Nome,UTP_Origem,UTP_Destino,Motivo,Pontuacao_Scores,E_Sede_Original,Timestamp
2312205,Santa Quitéria,325,325,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.382338
2500403,Alagoa Nova,65,65,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.403355
2506905,Itabaiana,185,185,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.420130
2600203,Afrânio,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.444750
2603009,Cabrobó,675,675,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:46:38.471443
2612604,Santa Maria da Boa Vista,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.486203
2709301,União dos Palmares,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.528034
2709400,Viçosa,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.543485
2901304,Andaraí,623,623,0/1: Target has Airport,0/1,True,2026-01-26T14:46:38.574434
2905008,Caculé,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:46:38.588616
2905206,Caetité,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:46:38.632015
2908101,Cocos,591,591,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:46:38.764896
2910404,Encruzilhada,362,362,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.789335
2914802,Itabuna,126,126,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.819246
2929255,São Gabriel,538,538,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:38.837687
2933208,Vera Cruz,291,291,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.845347
3108552,Brasilândia de Minas,558,558,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:46:38.915882
3146305,Padre Paraíso,335,335,0/2: Target has Airport,0/2,True,2026-01-26T14:46:38.940194
4301305,Arroio Grande,251,251,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.038105
3150570,Pintópolis,197,197,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:46:39.083293
3302106,Itaocara,300,300,0/0: REGIC Priority (Centro Sub-Regional B > Centro de Zona B),0/0,True,2026-01-26T14:46:39.187620
3503802,Artur Nogueira,NOVA15,NOVA15,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.199401
3534302,Orlândia,281,281,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.208959
3539202,Pirapozinho,274,274,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.249048
4212908,Pinhalzinho,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.268884
4302709,Butiá,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.277903
4304705,Carazinho,240,240,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.340153
4305454,Cidreira,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.346723
4310603,Itaqui,156,156,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.416546
4312401,Montenegro,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.438457
4312708,Nonoai,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.452273
4315057,Porto Mauá,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:39.460668
4315073,Porto Vera Cruz,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:39.473426
4315107,Porto Xavier,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:39.485152
4319604,São Sepé,497,497,0/2: Target has Airport,0/2,True,2026-01-26T14:46:39.645342
5005400,Maracaju,148,148,0/2: Target has Airport,0/2,True,2026-01-26T14:46:40.334252
5005681,Mundo Novo,624,624,0/1: Target has Airport,0/1,True,2026-01-26T14:46:40.347954
5103007,Chapada dos Guimarães,98,98,0/2: Target has Airport,0/2,True,2026-01-26T14:46:40.507232
5200803,Alvorada do Norte,654,654,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:46:40.671350
5205471,Chapadão do Céu,466,466,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:46:40.948865
5210109,Ipameri,642,642,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:46:41.348402
5213087,Minaçu,648,648,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:46:41.500727
5219308,Santa Helena de Goiás,287,287,0/2: Target has Airport,0/2,True,2026-01-26T14:46:41.556974
4317202,Santa Rosa,299,299,0/2: Target has Airport,0/2,True,2026-01-26T14:46:41.568838
