mun_origem,mun_destino,viagens
3103009,3168705,0
3105400,3168705,434
3106200,3168705,7310
3106309,3168705,0
3118403,3168705,604
3127701,3168705,3519
3131307,3168705,4990
3131703,3168705,75
3136207,3168705,2
3144706,3168705,0
3149952,3168705,0
3154309,3168705,1119
3155702,3168705,1
3158953,3168705,0
3169505,3168705,6
3200805,3168705,181
3201308,3168705,7906
3201506,3168705,75
3202207,3168705,29
3202504,3168705,0
3203130,3168705,0
3101102,3169505,188
3103009,3169505,0
3105400,3169505,193
3106200,3169505,2706
3106309,3169505,0
3118403,3169505,230
3127701,3169505,887
3131307,3169505,898
3131703,3169505,157
3136207,3169505,47
3144706,3169505,0
3149952,3169505,0
3154309,3169505,15
3155702,3169505,21
3158953,3169505,0
3168705,3169505,69
3200805,3169505,207
3201308,3169505,2787
3201506,3169505,36
3202207,3169505,217
3202504,3169505,0
3203130,3169505,0
3101102,3200805,207
3103009,3200805,0
3105400,3200805,257
3106200,3200805,3896
3106309,3200805,210
3118403,3200805,168
3127701,3200805,1387
3131307,3200805,1365
3131703,3200805,298
3136207,3200805,298
3144706,3200805,219
3149952,3200805,23
3154309,3200805,232
3155702,3200805,288
3158953,3200805,0
3168705,3200805,66
3169505,3200805,308
3201308,3200805,3884
3201506,3200805,561
3202207,3200805,1006
3202504,3200805,2
3203130,3200805,223
3101102,3201308,5255
3103009,3201308,1741
3105400,3201308,5086
3106200,3201308,44927
3106309,3201308,2324
3118403,3201308,5379
3127701,3201308,31574
3131307,3201308,13981
3131703,3201308,3291
3136207,3201308,3018
3144706,3201308,2533
3149952,3201308,1972
3154309,3201308,9352
3155702,3201308,2968
3158953,3201308,1579
3168705,3201308,7862
3169505,3201308,3021
3200805,3201308,4348
3201506,3201308,8598
3202207,3201308,1750
3202504,3201308,2712
3203130,3201308,2185
3101102,3201506,353
3103009,3201506,0
3105400,3201506,439
3106200,3201506,7912
3106309,3201506,0
3118403,3201506,546
3127701,3201506,3514
3131307,3201506,2959
3131703,3201506,99
3136207,3201506,31
3144706,3201506,0
3149952,3201506,0
3154309,3201506,1319
3155702,3201506,27
3158953,3201506,0
3168705,3201506,989
3169505,3201506,27
3200805,3201506,373
3201308,3201506,7845
3202207,3201506,33
3202504,3201506,1
3203130,3201506,0
3101102,3202207,122
3103009,3202207,0
3105400,3202207,93
3106200,3202207,4894
3106309,3202207,0
3118403,3202207,92
3127701,3202207,1181
3131307,3202207,1258
3131703,3202207,119
3136207,3202207,53
3144706,3202207,0
3149952,3202207,0
3154309,3202207,192
3155702,3202207,36
3158953,3202207,0
3168705,3202207,73
3169505,3202207,72
3200805,3202207,162
3201308,3202207,402
3201506,3202207,19
3202504,3202207,0
3203130,3202207,0
3101102,3202504,0
3103009,3202504,0
3105400,3202504,1
3106200,3202504,3071
3106309,3202504,0
3118403,3202504,1
3127701,3202504,1094
3131307,3202504,1137
3131703,3202504,0
3136207,3202504,0
3144706,3202504,0
3149952,3202504,0
3154309,3202504,2
3155702,3202504,0
3158953,3202504,0
3168705,3202504,0
3169505,3202504,0
3200805,3202504,0
3201308,3202504,2341
3201506,3202504,0
3202207,3202504,0
3203130,3202504,0
3101102,3203130,206
3103009,3203130,0
3105400,3203130,205
3106200,3203130,2171
3106309,3203130,0
3118403,3203130,184
3127701,3203130,618
3131307,3203130,599
3131703,3203130,148
3136207,3203130,67
3144706,3203130,0
3149952,3203130,0
3154309,3203130,44
3155702,3203130,41
3158953,3203130,0
3168705,3203130,101
3169505,3203130,88
3200805,3203130,211
3201308,3203130,1680
3201506,3203130,58
3202207,3203130,311
3202504,3203130,0
2307304,2304202,185347.858408258
2507507,2513703,1068728.05255804
2707701,2708907,19225.6711743117
2707701,2704302,1210082.95335377
2704302,2708907,81649.2598653815
2402600,2403608,28380.7518585221
2403608,2408102,405401.453425576
2408102,2403251,15643.800935403
2403251,2402600,68328.3213300285
2403251,2403608,59397.0558387505
2408102,2402600,726117.519840035
2611606,2603454,4730202.75715999
2611606,2602902,12191766.6736916
2611606,2607901,31423421.4222723
2603454,2602902,1701415.36285902
2603454,2607901,587658.33526263
2602902,2607901,835031.65637445
2304400,2303709,2565785.46030306
2304400,2307650,509717.79036964
2304400,2309706,101260.203371137
2303709,2307650,25502.8103267877
2303709,2309706,617.90723670225
4314902,4313409,6723116.53428385
4314902,4318705,2771632.15526004
4314902,4320008,1142616.33905522
4314902,4307708,471048.363080419
4314902,4304606,16308185.5314501
4313409,4318705,152530.483150841
4313409,4320008,18451.8218814627
4313409,4307708,10741.8829937317
4313409,4304606,41697.6938214406
4318705,4320008,8559.6457555627
4318705,4307708,8723.13404990605
4318705,4304606,33859.9290991452
4320008,4307708,7263.60836272905
4320008,4304606,28194.220037856
4307708,4304606,23088.8399278227
3304557,3303609,68860.289716248
3304557,3302270,160374.063022352
3304557,3303500,1374141.97227613
3304557,3302858,292409.550430918
3304557,3303203,263628.422743413
3304557,3300456,906379.165154305
3304557,3305109,812221.765625975
3304557,3301702,1396582.05532528
3304557,3302502,385243.358510297
3304557,3301850,87282.853538184
3303609,3302270,4054.48819553195
3303609,3303500,6742.7990167899
3303609,3302858,2022.75814220866
3303609,3303203,1348.6413661863
3302270,3303500,22646.6837717436
3302270,3302858,5501.1356766795
3302270,3303203,3856.66297895039
3303500,3302858,73304.383681401
3303500,3303203,71197.181371745
3302858,3303203,22568.0765822046
3300456,3305109,88325.6576849145
3300456,3301702,86217.6241813455
3300456,3302502,21970.133319416
3300456,3301850,5342.39394856215
3305109,3301702,88353.7260289145
3305109,3302502,22364.0104362802
3305109,3301850,5382.4477252145
3301702,3302502,57623.7767484065
3301702,3301850,25350.1216569753
3302502,3301850,6552.28556987615
2111300,1505536,149752.022115311
3106200,3201308,448027.129085417
3131703,3144706,12901.0136437942
3550308,3516309,5559270.8979245
3550308,3516408,14744.2069221569
3550308,3509007,3350.10873203094
3550308,3534401,40754.0298977775
3550308,3510609,24915.9613336836
3550308,3505708,14361.7836212679
3550308,3525003,11200.1153563416
3550308,3522505,14200.5511360445
3550308,3515707,12998.8652696144
3550308,3539806,9072.35040291005
3550308,3523107,21377.4121345479
3550308,3552502,14616.2286370109
3550308,3530607,8891.46770855015
3550308,3548807,1262.65189990518
3550308,3547809,17905.8751870831
3550308,3529401,11401.1521113545
3550308,3543303,3119.84858907138
3550308,3544103,1244.51324531756
3516309,3516408,1608.07688721577
3516309,3509007,1322.36177317281
3516309,3523107,44.0787257724269
3516408,3509007,900.757949726425
3516408,3534401,1171.51832751402
3534401,3510609,4761.58824220575
3534401,3505708,2311.48303304551
3534401,3525003,1801.53157392468
3534401,3522505,4792.76431394239
3534401,3548807,136.952029414546
3534401,3547809,2590.95424754186
3534401,3529401,575.643895994475
3510609,3505708,3834.43812706922
3510609,3525003,2171.49962051202
3510609,3522505,2359.96939889608
3505708,3525003,336.806607758266
3505708,3522505,4498.86544887753
3525003,3522505,2146.7742402792
3515707,3523107,353.947312408667
3515707,3552502,1499.5666947286
3515707,3530607,2174.24777622466
3515707,3548807,920.06472245166
3539806,3523107,1792.13381476864
3539806,3552502,1097.93073739263
3539806,3530607,4558.99509039901
3523107,3530607,3085.26513002659
3523107,3543303,295.802649054365
3552502,3530607,8168.543482971
3552502,3548807,160.368230450977
3552502,3547809,288.890287479064
3552502,3529401,613.60752005888
3530607,3547809,652.133090267135
3548807,3547809,6272.1292165806
3548807,3529401,5879.0757856749
3548807,3543303,1429.00010651095
3548807,3544103,546.720596711945
3547809,3529401,15786.7606968938
3547809,3543303,6200.7976723604
3547809,3544103,3314.58451884776
3529401,3543303,1998.5097996775
3529401,3544103,878.133093797685
3543303,3544103,1350.53895837437
2304202,2307304,185347.858408258
2513703,2507507,1068728.05255804
2708907,2707701,19225.6711743117
2704302,2707701,1210082.95335377
2708907,2704302,81649.2598653815
2403608,2402600,28380.7518585221
2408102,2403608,405401.453425576
2403251,2408102,15643.800935403
2402600,2403251,68328.3213300285
2403608,2403251,59397.0558387505
2402600,2408102,726117.519840035
2603454,2611606,4730202.75715999
2602902,2611606,12191766.6736916
2607901,2611606,31423421.4222723
2602902,2603454,1701415.36285902
2607901,2603454,587658.33526263
2607901,2602902,835031.65637445
2303709,2304400,2565785.46030306
2307650,2304400,509717.79036964
2309706,2304400,101260.203371137
2307650,2303709,25502.8103267877
2309706,2303709,617.90723670225
4313409,4314902,6723116.53428385
4318705,4314902,2771632.15526004
4320008,4314902,1142616.33905522
4307708,4314902,471048.363080419
4304606,4314902,16308185.5314501
4318705,4313409,152530.483150841
4320008,4313409,18451.8218814627
4307708,4313409,10741.8829937317
4304606,4313409,41697.6938214406
4320008,4318705,8559.6457555627
4307708,4318705,8723.13404990605
4304606,4318705,33859.9290991452
4307708,4320008,7263.60836272905
4304606,4320008,28194.220037856
4304606,4307708,23088.8399278227
3303609,3304557,68860.289716248
3302270,3304557,160374.063022352
3303500,3304557,1374141.97227613
