sede_origem,utp_origem,sede_destino,utp_destino,tempo_viagem_h,score_origem,score_destino,rm_origem,rm_destino,status,motivo_rejeicao
4315602,286,,251,1.4166630442676111,1,2,,,APROVADO,
4316808,293,,359,0.43778976361991245,1,1,,,APROVADO,
4317202,687,,299,0.9411846861712615,0,2,,,APROVADO,
4319604,717,,497,0.9527005792249332,0,2,,,APROVADO,
4321451,338,,193,0.4495648957152697,1,1,,,APROVADO,
4322608,359,,293,0.43778976361991245,1,1,,,APROVADO,
5001003,386,,294,0.800770859980306,0,1,,,APROVADO,
5001904,408,,275,0.8540392792494099,0,1,,,APROVADO,
5003702,103,,148,1.541296192912479,1,2,,,APROVADO,
5005400,580,,148,1.5098793346709596,0,2,,,APROVADO,
5100201,612,,784,1.450406718629164,0,1,,,APROVADO,
5102637,442,,729,1.8214515472064867,1,1,,,APROVADO,
5103007,464,,98,1.19054455463892,0,2,Recorte Metropolitano do Vale do Rio Cuiabá,Recorte Metropolitano do Vale do Rio Cuiabá,APROVADO,
5105259,572,,725,1.2646913672339943,1,1,,,APROVADO,
5205471,555,,466,1.1800346309298833,0,0,,,APROVADO,
5210109,536,,642,0.8811099477069626,0,0,,,APROVADO,
5213087,588,,648,1.9653175901016753,0,0,,,APROVADO,
5219308,680,,287,0.98414123860248,0,2,,,APROVADO,
1100049,430,1100189.0,638,1.7059204814430926,1,0,,,REJEITADO,Score destino (0) < origem (1)
1600709,732,1600303.0,202,,,,,Recorte Metropolitano de Macapá,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Macapá'
2100204,371,2111300.0,314,,,,,,REJEITADO,UTPs não são adjacentes
2103000,85,2211001.0,336,,,,Recorte Metropolitano da Zona Leste do Estado do Maranhão,Recorte Metropolitano da Grande Teresina,REJEITADO,RM incompatível: 'Recorte Metropolitano da Zona Leste do Estado do Maranhão' != 'Recorte Metropolitano da Grande Teresina'
2104800,518,2111805.0,724,,,,,Recorte Metropolitano do Sudoeste Maranhense,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano do Sudoeste Maranhense'
2107100,219,2111300.0,314,,,,,,REJEITADO,UTPs não são adjacentes
2108603,295,2111300.0,314,,,,,Recorte Metropolitano da Grande São Luís,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano da Grande São Luís'
2202208,439,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2206209,473,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2210508,15,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2311603,NOVA25,2304400.0,111,,,,,Recorte Metropolitano de Fortaleza,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Fortaleza'
2312205,685,2312908.0,325,,,,,Recorte Metropolitano de Sobral,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Sobral'
2500403,6,2504009.0,65,,,,Recorte Metropolitano de Esperança,Recorte Metropolitano de Campina Grande,REJEITADO,RM incompatível: 'Recorte Metropolitano de Esperança' != 'Recorte Metropolitano de Campina Grande'
2506301,119,2507507.0,185,,,,Recorte Metropolitano de Guarabira,Recorte Metropolitano de João Pessoa,REJEITADO,RM incompatível: 'Recorte Metropolitano de Guarabira' != 'Recorte Metropolitano de João Pessoa'
2506905,NOVA4,2507507.0,185,,,,Recorte Metropolitano de Itabaiana,Recorte Metropolitano de João Pessoa,REJEITADO,RM incompatível: 'Recorte Metropolitano de Itabaiana' != 'Recorte Metropolitano de João Pessoa'
2516508,560,2504009.0,65,,,,,Recorte Metropolitano de Campina Grande,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Campina Grande'
2600203,368,2611101.0,253,,,,,Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA'
2601201,59,2610905.0,635,0.5957694769865831,1,0,,,REJEITADO,Score destino (0) < origem (1)
2702306,252,2704302.0,203,,,,,Recorte Metropolitano de Maceió,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Maceió'
2709301,NOVA2,2704302.0,203,,,,,Recorte Metropolitano de Maceió,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Maceió'
2709400,NOVA20,2704302.0,203,,,,,Recorte Metropolitano de Maceió,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Maceió'
2910800,107,2927408.0,291,,,,Recorte Metropolitano de Feira de Santana,Recorte Metropolitano de Salvador,REJEITADO,RM incompatível: 'Recorte Metropolitano de Feira de Santana' != 'Recorte Metropolitano de Salvador'
2913606,126,2914802.0,159,0.3445694897902449,2,0,,,REJEITADO,Score destino (0) < origem (2)
2918001,181,2920502.0,581,1.2407164319396098,1,0,,,REJEITADO,Score destino (0) < origem (1)
2928604,57,2910800.0,107,,,,,Recorte Metropolitano de Feira de Santana,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Feira de Santana'
2932002,449,2909901.0,253,,,,,Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA'
3117504,479,3167103.0,721,0.9275875425471302,1,0,,,REJEITADO,Score destino (0) < origem (1)
3127701,118,3131307.0,157,,,,,Recorte Metropolitano do Vale do Aço,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano do Vale do Aço'
3147402,236,3167202.0,323,,,,,Recorte Metropolitano de Belo Horizonte,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Belo Horizonte'
3170206,352,3103504.0,21,1.0284771692003882,2,1,,,REJEITADO,Score destino (1) < origem (2)
3301009,68,3302403.0,201,1.7115112672951822,2,1,,,REJEITADO,Score destino (1) < origem (2)
3305802,337,3304557.0,284,,,,,Recorte Metropolitano do Rio de Janeiro,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano do Rio de Janeiro'
3502804,301,3506508.0,45,0.5682429531269971,2,1,,,REJEITADO,Score destino (1) < origem (2)
3507506,50,3550100.0,712,0.42922776840760424,1,0,,,REJEITADO,Score destino (0) < origem (1)
3511102,82,3549805.0,311,,,,,Recorte Metropolitano de São José do Rio Preto,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de São José do Rio Preto'
3524105,124,3543402.0,281,,,,,Recorte Metropolitano de Ribeirão Preto,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Ribeirão Preto'
3541307,275,5001904.0,408,0.8540392792494099,1,0,,,REJEITADO,Score destino (0) < origem (1)
4101408,17,4101507.0,23,,,,Recorte Metropolitano de Apucarana,Recorte Metropolitano de Londrina,REJEITADO,RM incompatível: 'Recorte Metropolitano de Apucarana' != 'Recorte Metropolitano de Londrina'
4101507,23,4101408.0,17,,,,Recorte Metropolitano de Londrina,Recorte Metropolitano de Apucarana,REJEITADO,RM incompatível: 'Recorte Metropolitano de Londrina' != 'Recorte Metropolitano de Apucarana'
4104303,440,4115200.0,211,,,,Recorte Metropolitano de Campo Mourão,Recorte Metropolitano de Maringá,REJEITADO,RM incompatível: 'Recorte Metropolitano de Campo Mourão' != 'Recorte Metropolitano de Maringá'
4108304,140,4115804.0,587,0.9090580062390372,2,1,,,REJEITADO,Score destino (1) < origem (2)
4108601,517,4128104.0,353,,,,Recorte Metropolitano de Campo Mourão,Recorte Metropolitano de Umuarama,REJEITADO,RM incompatível: 'Recorte Metropolitano de Campo Mourão' != 'Recorte Metropolitano de Umuarama'
4127700,340,4104808.0,79,,,,Recorte Metropolitano de Toledo,Recorte Metropolitano de Cascavel,REJEITADO,RM incompatível: 'Recorte Metropolitano de Toledo' != 'Recorte Metropolitano de Cascavel'
4204202,88,4219507.0,762,0.7364947467935227,2,1,Recorte Metropolitano de Chapecó,Recorte Metropolitano de Chapecó,REJEITADO,Score destino (1) < origem (2)
4208807,551,4218707.0,346,0.3922226908087087,2,1,Recorte Metropolitano de Tubarão,Recorte Metropolitano de Tubarão,REJEITADO,Score destino (1) < origem (2)
4211652,NOVA14,4108403.0,512,,,,Recorte Metropolitano do Extremo Oeste,,REJEITADO,RM incompatível: 'Recorte Metropolitano do Extremo Oeste' != ''
4216404,272,4321501.0,342,,,,Recorte Metropolitano de Carbonífera,,REJEITADO,RM incompatível: 'Recorte Metropolitano de Carbonífera' != ''
4302709,502,4314902.0,267,,,,,Recorte Metropolitano de Porto Alegre,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Porto Alegre'
4305454,90,4314902.0,267,,,,,Recorte Metropolitano de Porto Alegre,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Porto Alegre'
4310009,532,4314100.0,240,,,,,,REJEITADO,UTPs não são adjacentes
4312476,NOVA13,4313409.0,228,,,,,Recorte Metropolitano de Porto Alegre,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Porto Alegre'
4312708,607,4204202.0,88,,,,,Recorte Metropolitano de Chapecó,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Chapecó'
4316907,497,4319604.0,717,0.9527005792249332,2,0,,,REJEITADO,Score destino (0) < origem (2)
4322004,89,4312401.0,596,0.32645975200788874,1,0,Recorte Metropolitano de Porto Alegre,Recorte Metropolitano de Porto Alegre,REJEITADO,Score destino (0) < origem (1)
4322806,754,4302105.0,43,,,,,Recorte Metropolitano da Serra Gaúcha,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano da Serra Gaúcha'
5005681,534,4108809.0,624,,,,,Recorte Metropolitano de Toledo,REJEITADO,RM incompatível: '' != 'Recorte Metropolitano de Toledo'
5006606,148,5003702.0,103,1.541296192912479,2,1,,,REJEITADO,Score destino (1) < origem (2)
5200803,11,5218300.0,654,,,,Recorte Metropolitano do Distrito Federal e Entorno,,REJEITADO,RM incompatível: 'Recorte Metropolitano do Distrito Federal e Entorno' != ''
5204508,62,5213806.0,422,1.0333117479807818,2,0,,,REJEITADO,Score destino (0) < origem (2)
5218508,277,5219308.0,680,1.4132997115698225,1,0,,,REJEITADO,Score destino (0) < origem (1)
